#CITTA' 	 X 	 Y
1	0	1
21	0.833009	-0.55326
7	-0.818321	0.574761
17	0.0330106	-0.999455
26	0.644539	-0.764572
19	0.97815	0.207899
9	0.948126	-0.317895
31	0.478736	0.877959
25	0.908989	0.416821
28	0.997431	0.0716365
3	-0.392697	-0.919668
34	0.622679	0.782477
11	-0.44166	-0.897182
32	0.625286	-0.780396
13	0.994226	-0.107307
33	0.973628	0.228142
8	0.882401	-0.470498
23	-0.909873	-0.414888
22	0.345024	0.938594
4	0.978668	0.20545
20	0.253721	-0.967277
24	0.549808	0.835291
15	0.544841	-0.838539
30	-0.960358	-0.278771
10	-0.0550938	0.998481
2	0.0702363	-0.99753
27	0.638612	-0.769529
6	-0.961629	0.274352
12	-0.861837	-0.507185
14	-0.49915	0.866516
18	0.615471	0.78816
29	-0.953566	0.301185
16	0.138654	-0.990341
5	-0.891103	0.453801
