#CITTA' 	 X 	 Y
1	-0.725849	-0.207467
21	-0.520395	0.519415
7	-0.904119	-0.977762
17	-0.312768	-0.427913
26	-0.778545	-0.785142
19	-0.585737	0.0167413
9	-0.894244	0.63205
31	0.366849	-0.848924
25	0.425729	0.400667
28	0.810969	0.385852
3	-0.818639	0.112159
34	0.876542	0.0485604
11	-0.378267	0.875677
32	0.620288	0.162411
13	0.346054	-0.355052
33	-0.512054	-0.906822
8	-0.115028	0.972663
23	-0.341102	-0.121902
22	0.352596	0.640008
4	0.750772	0.446569
20	0.503585	0.468471
24	-0.769134	0.448551
15	0.298737	0.464289
30	0.285436	-0.0274589
10	0.880573	0.503163
2	-0.565371	-0.677522
27	-0.870956	-0.922742
6	0.385362	-0.193811
12	-0.414621	-0.946576
14	-0.0407384	0.0537065
18	0.815801	0.599035
29	-0.171764	-0.0687943
16	0.990261	-0.0997491
5	0.583787	-0.842896
